@relation NewDaily

@attribute dayOTW numeric
@attribute weather numeric
@attribute temperature numeric
@attribute humidity numeric
@attribute sex numeric
@attribute height numeric
@attribute weight numeric
@attribute totalStep numeric

@data
1, 3, 28, 65, 1, 1.7, 65, 8000
2, 2, 25, 60, 0, 1.6, 55, 7500
3, 6, 22, 70, 1, 1.75, 70, 6000
4, 5, 20, 75, 0, 1.65, 60, 9000
5, 4, 18, 55, 1, 1.8, 75, 5000
6, 1, 30, 50, 0, 1.55, 50, 7000
7, 7, 15, 80, 1, 1.65, 68, 8500
1, 3, 28, 65, 1, 1.7, 65, 8200
2, 2, 25, 60, 0, 1.6, 55, 7200
3, 6, 22, 70, 1, 1.75, 70, 5800
4, 5, 20, 75, 0, 1.65, 60, 9200
5, 4, 18, 55, 1, 1.8, 75, 5200
6, 1, 30, 50, 0, 1.55, 50, 6900
7, 7, 15, 80, 1, 1.65, 68, 8300
1, 3, 28, 65, 1, 1.7, 65, 8100
2, 2, 25, 60, 0, 1.6, 55, 7300
3, 6, 22, 70, 1, 1.75, 70, 5900
4, 5, 20, 75, 0, 1.65, 60, 9100
5, 4, 18, 55, 1, 1.8, 75, 5100
6, 1, 30, 50, 0, 1.55, 50, 6800
7, 7, 15, 80, 1, 1.65, 68, 8400
1, 3, 28, 65, 1, 1.7, 65, 4100
2, 2, 25, 60, 0, 1.6, 55, 4500
3, 6, 22, 70, 1, 1.75, 70, 4900
4, 5, 20, 75, 0, 1.65, 60, 4200
5, 4, 18, 55, 1, 1.8, 75, 4700
6, 1, 30, 50, 0, 1.55, 50, 4800
7, 7, 15, 80, 1, 1.65, 68, 4300
1, 3, 28, 65, 1, 1.7, 65, 4100
2, 2, 25, 60, 0, 1.6, 55, 4500
3, 6, 22, 70, 1, 1.75, 70, 4900
4, 5, 20, 75, 0, 1.65, 60, 4200
5, 4, 18, 55, 1, 1.8, 75, 4700
6, 1, 30, 50, 0, 1.55, 50, 4800
7, 7, 15, 80, 1, 1.65, 68, 4300
1, 3, 28, 65, 1, 1.7, 65, 4100
2, 2, 25, 60, 0, 1.6, 55, 4500
3, 6, 22, 70, 1, 1.75, 70, 4900
4, 5, 20, 75, 0, 1.65, 60, 4200
5, 4, 18, 55, 1, 1.8, 75, 4700
6, 1, 30, 50, 0, 1.55, 50, 4800
7, 7, 15, 80, 1, 1.65, 68, 4300
1, 3, 28, 65, 1, 1.7, 65, 4200
2, 2, 25, 60, 0, 1.6, 55, 4500
3, 6, 22, 70, 1, 1.75, 70, 4900
4, 5, 20, 75, 0, 1.65, 60, 4300
5, 4, 18, 55, 1, 1.8, 75, 4700
6, 1, 30, 50, 0, 1.55, 50, 4800
7, 7, 15, 80, 1, 1.65, 68, 4100
1, 3, 28, 65, 1, 1.7, 65, 4200
2, 2, 25, 60, 0, 1.6, 55, 4500
3, 6, 22, 70, 1, 1.75, 70, 4900
4, 5, 20, 75, 0, 1.65, 60, 4300
5, 4, 18, 55, 1, 1.8, 75, 4700
6, 1, 30, 50, 0, 1.55, 50, 4800
7, 7, 15, 80, 1, 1.65, 68, 4100
1, 3, 28, 65, 1, 1.7, 65, 4200
2, 2, 25, 60, 0, 1.6, 55, 4500
3, 6, 22, 70, 1, 1.75, 70, 4900
4, 5, 20, 75, 0, 1.65, 60, 4300
5, 4, 18, 55, 1, 1.8, 75, 4700
6, 1, 30, 50, 0, 1.55, 50, 4800
7, 7, 15, 80, 1, 1.65, 68, 4100
1, 3, 28, 65, 1, 1.8, 70, 11000
2, 2, 25, 60, 0, 1.75, 65, 12000
3, 6, 22, 70, 1, 1.85, 75, 10500
4, 5, 20, 75, 0, 1.9, 80, 13000
5, 4, 18, 55, 1, 1.95, 85, 11500
6, 1, 30, 50, 0, 1.88, 78, 12500
7, 7, 15, 80, 1, 1.75, 68, 11000
1, 3, 28, 65, 1, 1.8, 70, 11200
2, 2, 25, 60, 0, 1.75, 65, 12100
3, 6, 22, 70, 1, 1.85, 75, 10700
4, 5, 20, 75, 0, 1.9, 80, 13200
5, 4, 18, 55, 1, 1.95, 85, 11600
6, 1, 30, 50, 0, 1.88, 78, 12700
7, 7, 15, 80, 1, 1.75, 68, 11100
1, 3, 28, 65, 1, 1.8, 70, 11300
2, 2, 25, 60, 0, 1.75, 65, 12300
3, 6, 22, 70, 1, 1.85, 75, 10600
4, 5, 20, 75, 0, 1.9, 80, 13100
5, 4, 18, 55, 1, 1.95, 85, 11400
6, 1, 30, 50, 0, 1.88, 78, 12600
7, 7, 15, 80, 1, 1.75, 68, 10900
